Rotberger,Red
Rouchet/ Ruché / Roche,Red
Rubired,Red
Ruby Cabernet,Red
Rufete / Tinta Pinheira / Tinta Carvalha / Rufeta,Red
Sagrantino,Red
Sangiovese,Red
Saperavi,Red
Schiava / Trollinger,Red
Schioppettino,Red
Schönburger,Red
Sciacarello,Red
Sciascinoso,Red
Segalin / Ségalin,Red
Servanin,Red
Sgaretta,Red
Shiraz / Syrah,Red
Shiroka Melnishka Losa / Melnik,Red
Sousão,Red
Sousón,Red
St. Laurent / Svatovavrinecke,Red
St-Macaire,Red
Sumoll,Red
Susumaiello,Red
Taminga,Red
Tannat,Red
Tarrango,Red
Tazzelenghe,Red
Tempranillo / Tinta Roriz / Ull de Llebre / Cencibel / Tinta del Pais,Red
Teroldego / Teroldego Rotaliano,Red
Terret Noir,Red
Thiniatiko,Red
Tibouren,Red
Tinta Amarela,Red
Tinta Barroca,Red
Tinta Caiada,Red
Tinta Carvalha,Red
Tinta Francisca,Red
Tinta Madeira,Red
Tinta Miuda,Red
Tinta Negra Mole / Preto Martinho,Red
Tinta Pinheira,Red
Tinto Cão,Red
Touriga Franca / Touriga Francesa,Red
Touriga Nacional / Azal Espanhol / Preto de Mortágua,Red
Trepat,Red
Trevisana Nera,Red
Trincadeira/ Castelão / Torneiro,Red
Troia / Uva di Troia,Red
Trollinger,Red
Trousseau,Red
Turca,Red
Usakhelauri,Red
Uva di Troia,Red
Uva Rara,Red
Vaccarese / Vaccarèse,Red
Valdiguié,Red
Vespolina,Red
Vien de Nus,Red
Volidza,Red
Vranac,Red
Wildbacher/Blauer Wildbacher,Red
Wrothham Pinot,Red
Xynomavro,Red
Zinfandel / Crljenak Kaštelanski / Primitivo,Red
Zweigelt / Zweigeltrebe / Rotburger,Red
