Picolit / Piccolit / Piccolito,White
Picpoul,White
Pigato,White
Pignerol,White
Pignooletto,White
Pinella,White
Pinot Blanc / Pinot Bianco / Klevner / Weissburgunder,White
Pinot Grigio / Pinot Gris / Grauburgunder,White
Pinot Jaune / Szürkebarát,White
Planta Fina,White
Planta Nova,White
Plavai,White
Pošip,White
Prosecco,White
Prunesta,White
Rabigato,White
Rabo de Ovelha,White
Raisin Blanc,White
Rauschling / Rāuschling,White
Regner,White
Reichensteiner,White
Rèze,White
Rhoditis / Roditis,White
Ribolla / Robola,White
Riesling / Johannisberg Riesling / Rheinriesling / Klingelberger,White
Rieslaner,White
Rkatsiteli,White
Robola,White
Roditis / Rhoditis,White
Rolle,White
Rollo,White
Romorantin,White
Roter Veltliner,White
Rotgipfler,White
Roupeiro / Codega,White
Roussanne,White
Sabro,White
Sacy,White
Ste Marie,White
St-Pierre Doré,White
Sarfeher / Sárfehér,White
Sauvignon Blanc / Sauvignon Gris,White
Sauvignon Vert / Sauvignonasse,White
Savagnin / Savagnin Blanc,White
Savatiano,White
Scheurebe,White
Schönburger,White
Sémillon,White
Septiner,White
Sercial / Cerceal / Esgana Cao,White
Sereksia,White
Sideritis,White
Siegerrebe,White
Silvaner / Sylvaner / Österreicher,White
Smederevka,White
Spagnol,White
Spätrot / Zierfandler,White
Steen - Chenin Blanc,White
Sultana,White
Symphony,White
Tamarêz / Tamares / Crato Branco,White
Tamîioasa / Tămîioasă Românească / Tamianka,White
Taminga,White
Tempranillo blanco,White
Téoulier,White
Terrantez,White
Terret gris,White
Timorasso,White
Torrontés / Torontel,White
Tourbat / Torbato,White
Traminer / Tramini / Traminac,White
Trbljan,White
Trebbiano / Ugni Blanc,White
Treixadura / Trajadura,White
Tresallier,White
Trousseau Gris / Grey Riesling,White
Tsaoussi,White
Tsolikauri,White
Ugni blanc / Trebbiano,White
Verdea,White
Verdeca,White
Verdejo,White
Verdelho / Gouveio / Verdello,White
Verdesse,White
Verdicchio,White
Verdil / Verdosilla,White
Verdiso / Verdia,White
Verdoncho,White
Verduzzo,White
Verduzzo Trevigiano,White
Vermentino / Rolle,White
Vernaccia,White
Veroga,White
Vespaiola,White
Vilana,White
Vinhao,White
Viognier,White
Viosinho,White
Vital (grape),White
Vitovska,White
Viura / Macabeo / Macabeu /Alcañón,White
Voskehat,White
Vugava,White
Weldra,White
Welschriesling / Riesling Italico / Olaszrizling / Lazki Rizling / Graševina,White
Würzer,White
Xarel·lo / Xarello,White
Xynisteri,White
Zala Gyöngye,White
Zalema,White
Zefir,White
Zenit,White
Zéta / Orémus,White
Zeusz,White
Zierfandler,White
Žilavka,White
Žlahtina,White
